vx,vy,vz,omega_z
-0.0048038396,-0.059713494,0.0078101177,0.2856813
-0.029014904,-0.09848995,-0.003404094,0.3339364
-0.012057543,-0.13126226,0.0017047096,0.31417233
-0.018821657,-0.13497044,0.010976704,0.30429208
-0.010134142,-0.1423082,0.0046763513,0.3076947
-0.010836754,-0.14981815,0.0030457992,0.313673
-0.011725467,-0.14828515,0.0019941274,0.30782232
-0.009946723,-0.1511361,0.0023503024,0.30747557
-0.01126552,-0.15068558,0.0024890471,0.30343243
-0.010729972,-0.14760526,0.0007484723,0.29832748
-0.010666162,-0.14683248,0.00064386614,0.300116
-0.012135863,-0.14775564,0.0007296894,0.30411598
-0.013068553,-0.14916345,0.0008588303,0.30710194
-0.01440461,-0.14979993,-0.0006298851,0.30817676
-0.012342848,-0.15081543,-0.00072903745,0.30663276
-0.015294608,-0.14839981,0.0011135731,0.30589497
-0.012648214,-0.14984797,0.0012457985,0.30390686
-0.012033023,-0.15206942,0.0014916603,0.30404142
-0.013519555,-0.14987785,0.0013078693,0.30244982
-0.0109909475,-0.148463,0.0014841203,0.29881254
-0.01175192,-0.14733839,0.0016033966,0.298246
-0.011181269,-0.1425255,-0.00038047694,0.287498
-0.009272493,-0.1385108,-0.00031136535,0.28306007
-0.010358233,-0.13339101,-0.0004512351,0.27638698
-0.009362392,-0.12725691,-0.00011158548,0.2738524
-0.00878847,-0.12380413,-0.00047342293,0.27202812
-0.010317303,-0.1232486,-0.00082485937,0.27890214
-0.011527747,-0.1263119,-0.0021851193,0.28072375
-0.012421604,-0.12637745,-0.0016155075,0.28293997
-0.0115449615,-0.13062778,0.00011678971,0.28748083
-0.014322914,-0.13083059,0.0030719135,0.29493627
-0.01439159,-0.14001268,0.00012546964,0.30131295
-0.016301561,-0.13635181,0.0030016992,0.29158503
-0.0137655325,-0.14188756,0.00013989396,0.2945233
-0.017815903,-0.14341502,0.00220518,0.2995621
-0.018096805,-0.14036977,0.0008432437,0.2921657
-0.016455535,-0.14669366,0.0009420831,0.29797855
-0.020136025,-0.14338277,0.00075224973,0.29404765
-0.01689677,-0.14222248,-0.0027011316,0.2883801
-0.016942654,-0.14316007,0.0010484625,0.29224953
-0.018246256,-0.13956065,-0.00028579496,0.28814012
-0.014952552,-0.14044663,0.00029678084,0.28542548
-0.015288852,-0.14033131,-0.0021915566,0.2850957
-0.014167264,-0.13997695,-0.0015994143,0.28935373
-0.01585574,-0.14076434,-0.004438108,0.2928231
-0.016004067,-0.13697943,-0.0046447944,0.2881407
-0.01665013,-0.13510136,-0.0037950631,0.28945714
-0.017511211,-0.13103779,-0.0040786397,0.28630984
-0.017921984,-0.12775172,-0.0074412134,0.27845827
-0.017479297,-0.12109365,-0.005468292,0.27086166
-0.015616585,-0.12862185,-0.0013989042,0.28597692
-0.01898437,-0.127445,-0.0029531699,0.2866442
-0.014033698,-0.13665934,-0.0022403877,0.28481627
-0.01627868,-0.13727058,0.0020624641,0.28295833
-0.013593588,-0.1398235,0.001758391,0.28763044
-0.012183979,-0.14148985,0.0018001068,0.28274652
-0.012666535,-0.13979869,0.0030312333,0.2778825
-0.013045803,-0.139127,0.0042615253,0.28208977
-0.013816435,-0.14678028,0.0034772847,0.2963913
-0.017235648,-0.1461408,0.0013851915,0.2966782
-0.013773158,-0.15637878,0.0003604535,0.29898804
-0.01707748,-0.15610519,0.003983753,0.29685777
-0.013306607,-0.15862052,0.0041164327,0.2984839
-0.012497481,-0.16158123,0.0040275697,0.29640716
-0.010949861,-0.1609088,0.004224682,0.2917034
-0.0099991,-0.16056995,0.00365741,0.29555777
-0.009694543,-0.16456622,0.004332343,0.3048702
-0.012211006,-0.15866308,0.0020925347,0.30518585
-0.011839148,-0.16220036,0.0019722525,0.30546966
-0.009921316,-0.15351905,0.00340789,0.29668108
-0.0048155147,-0.14984487,0.00025818683,0.2893946
-0.0066095996,-0.14953102,0.0011330862,0.29875314
-0.01020376,-0.15029897,-0.0026690345,0.30315194
-0.011238191,-0.15204774,-0.0035544392,0.30685127
-0.011859614,-0.15024592,-0.0027348157,0.29865217
-0.009959284,-0.15136236,0.0010602046,0.30057222
-0.012639962,-0.14587606,-0.002701318,0.2969737
-0.009318303,-0.15202333,-0.0024041515,0.3013635
-0.013326421,-0.14698568,-0.0013994556,0.29806593
-0.010354605,-0.15329213,-0.0026722383,0.30113304
-0.012387976,-0.14949995,-0.0010126736,0.2957622
-0.022286175,-0.12932344,0.00027399696,0.03439485
-0.008303845,-0.06546315,0.006881248,-0.17287119
0.00548673,-0.012064085,-0.0010772441,-0.25271863
0.0035757967,0.05181245,-0.011437645,-0.29203892
-0.0057423185,0.109120466,-0.017735442,-0.3039189
-0.012185663,0.13963948,-0.01642756,-0.3057939
-0.018867053,0.15742242,-0.00906348,-0.31712234
-0.024300065,0.17053513,-0.005009463,-0.3216444
-0.023220059,0.1802864,-0.0029457938,-0.3301962
-0.024148162,0.18982038,0.0006150622,-0.3334371
-0.02605385,0.19938506,-0.0020795967,-0.3320485
-0.027097497,0.20544477,-0.0024742465,-0.33778134
-0.028220195,0.21105726,0.00044390745,-0.34068137
-0.028863627,0.21040167,-2.5419518e-05,-0.33466148
-0.02849057,0.20652492,0.0007224176,-0.33496612
-0.028942268,0.20793168,0.0033484418,-0.34324834
-0.024965752,0.20470747,0.003634857,-0.34413365
-0.024931211,0.20306681,0.0024897326,-0.34427094
-0.02486517,0.2029158,-0.001057012,-0.34346518
-0.022429343,0.19631095,0.00027309544,-0.33196974
-0.025546137,0.1985159,0.00043050386,-0.33505222
-0.023002502,0.19518727,0.0014939997,-0.3303399
-0.024885673,0.19466116,0.0024853218,-0.32789272
-0.025293346,0.1973704,0.0005346257,-0.33030966
-0.026559364,0.20174082,0.0008403007,-0.337856
-0.028324034,0.20432077,0.0007053185,-0.3348375
-0.030826006,0.20942482,-0.002804136,-0.34514898
-0.029261831,0.21284966,-1.8788502e-05,-0.34651965
-0.028484914,0.21538244,0.0017184559,-0.3527301
-0.025003728,0.21445267,0.0025058407,-0.35897642
-0.022544544,0.21137248,0.00377463,-0.35845426
-0.020043124,0.2087494,0.0043575633,-0.35191986
-0.019819248,0.2030903,0.0017390717,-0.350169
-0.018884894,0.19586046,0.0034695063,-0.34363237
-0.018507067,0.18641356,0.0018521119,-0.32898098
-0.016227085,0.17709346,0.0029415134,-0.32288885
-0.015239421,0.16770665,-0.00027315132,-0.30642235
-0.015786096,0.16114584,-0.0030533504,-0.30161113
-0.017869126,0.15756077,-0.0013052132,-0.2994068
-0.017186966,0.15034942,-0.000997169,-0.28756136
-0.018143553,0.14583397,-0.0037402865,-0.28696394
-0.020212095,0.15637992,-0.0047413837,-0.29838973
-0.020322599,0.15937515,-0.004919892,-0.302754
-0.023074802,0.1660615,-0.0033658575,-0.30278373
-0.024998147,0.17214034,-0.004838785,-0.30688313
-0.02499685,0.17499708,-0.005237175,-0.3023535
-0.025928665,0.17401384,-0.0026839878,-0.2978755
-0.026841652,0.17396848,0.00078258105,-0.29811656
-0.023158703,0.16506332,0.0023977552,-0.29106206
-0.026591178,0.17204542,0.0026494954,-0.30314073
-0.02046055,0.16781674,0.0043697525,-0.30085886
-0.022794578,0.17134331,0.0037186313,-0.3029309
-0.019539729,0.16627584,0.0010808203,-0.29916126
-0.022711169,0.17008743,0.0048550013,-0.30740973
-0.020929176,0.16748689,0.0043304954,-0.29973352
-0.021943867,0.16592906,2.4298206e-05,-0.29847634
-0.020724256,0.1663567,0.0005027447,-0.29659858
-0.022109903,0.1667285,0.00229826,-0.2900774
-0.02342382,0.16554828,-0.0018472057,-0.28030735
-0.02431766,0.16788185,-0.002553476,-0.2857943
-0.02545403,0.16783294,0.0010309834,-0.28100204
