time_total,x,y,z,vx,vy,vz,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate
-01,9.990089582755562470e-02,-5.549373608318773632e-02,1.736309068757540541e-01,3.888280131339869787e-04,-5.323873600692636274e-04,2.399911093859784326e-03,-2.752621908032011788e+00,-1.652759970316281662e-02,-2.296107297069636261e-02,3.930306006735601043e-01
2.500000000000000000e-01,4.534101620142181877e-01,1.400367413513447512e-01,9.994182820788106991e-02,-5.930016726513905739e-02,1.720273246121467592e-01,2.773229938802006722e-04,2.696560345078943474e-03,4.383381152232683486e-03,-2.703480601387816762e+00,-1.501668500121898855e-02,-2.518461355875491539e-02,3.930516640772245829e-01
5.000000000000000000e-01,4.455462456754782363e-01,1.615481434570092689e-01,9.997112258793240669e-02,-6.686774891667794651e-02,1.723148725677749182e-01,1.974940554988599464e-04,4.922252926451201570e-03,6.489170208498059797e-03,-2.654336758198693413e+00,-1.335986010584915701e-03,-2.010913216392714101e-02,3.930599183360954374e-01
7.500000000000000000e-01,4.365254588128562596e-01,1.831079671406135034e-01,9.999163961707960291e-02,-7.753116588770429807e-02,1.724034234155786272e-01,1.357779146708171529e-04,5.228595956914631679e-03,8.648649717108198784e-03,-2.605202068907027879e+00,1.271051257830267851e-02,-1.248204359802678777e-02,3.930628237810896985e-01
1.000000000000000000e+00,4.260361965638836956e-01,2.045430419538379063e-01,1.000056211274000656e-01,-9.008818768138580901e-02,1.701001494851083207e-01,9.236050573972625114e-05,4.010404420737192013e-03,1.071918882168980749e-02,-2.556081131396438888e+00,1.965310921161806876e-02,-5.662274366785889114e-03,3.930641788589607222e-01
1.250000000000000000e+00,4.139210340236156860e-01,2.254671024804435486e-01,1.000151904054722846e-01,-1.033405716259846868e-01,1.642707510488568556e-01,6.343370663007213777e-05,2.228728662830865414e-03,1.241246218203897675e-02,-2.506968739066152807e+00,1.794954980457220267e-02,-6.807951339410293727e-04,3.930649548272549532e-01
1.500000000000000000e+00,4.001575416000575092e-01,2.454392819265639181e-01,1.000216353445660539e-01,-1.163332001317792519e-01,1.551104158381428899e-01,4.100799231087596809e-05,7.103647531907734264e-04,1.337743282673312280e-02,-2.457855427487501299e+00,1.028375109066430315e-02,3.037674973518403668e-03,3.930614484580744472e-01
1.750000000000000000e+00,3.848267403746274962e-01,2.641104178498721589e-01,1.000254736221431046e-01,-1.283445290079623102e-01,1.437644373788346253e-01,2.163002602389772243e-05,-1.893748679472314408e-04,1.335834503358225567e-02,-2.408735444219559430e+00,7.533854878473788923e-04,6.346006970102243717e-03,3.930513739006198382e-01
2.000000000000000000e+00,3.680897109411324641e-01,2.813026981041606978e-01,1.000271847127655878e-01,-1.387976560174229435e-01,1.317171135428303330e-01,7.333908099801388926e-06,-5.484422441489154995e-04,1.231984520832635731e-02,-2.359609526919550060e+00,-7.318414762847455859e-03,9.441722427856437394e-03,3.930386509855643418e-01
2.250000000000000000e+00,3.501724469972256615e-01,2.970169179493873379e-01,1.000275757739631927e-01,-1.472304660839759138e-01,1.202813342030095711e-01,4.185736955358440326e-07,-6.406377599162909166e-04,1.047348617134940055e-02,-2.310481403738711137e+00,-1.227265246915515244e-02,1.174622909149039031e-02,3.930298891127274596e-01
2.500000000000000000e+00,3.313482433582600750e-01,3.113910165320081247e-01,1.000275501305711995e-01,-1.533583387205285087e-01,1.103289268743837120e-01,3.390286139608409528e-08,-7.010096933630523535e-04,8.205989367875931445e-03,-2.261353417980429992e+00,-1.392838867028063296e-02,1.240561650419170873e-02,3.930278991601730554e-01
2.750000000000000000e+00,3.119090899129536854e-01,3.246398439613913389e-01,1.000277226340482717e-01,-1.571721894475852643e-01,1.022402327091508495e-01,2.850110147752819696e-06,-8.120541983741661482e-04,5.956487425638801007e-03,-2.212225592616817504e+00,-1.292818852637505657e-02,1.092883763425996427e-02,3.930299158644292024e-01
3.000000000000000000e+00,2.921271798678711229e-01,3.369978148055238210e-01,1.000282649697236959e-01,-1.589876026501221284e-01,9.597979497753436617e-02,5.513314753810238528e-06,-9.202263035519787004e-04,4.099886894399743138e-03,-2.163097288958592213e+00,-1.014113582910921782e-02,7.545227036733187509e-03,3.930312289359858546e-01
3.250000000000000000e+00,2.722164616760185396e-01,3.486743095316851559e-01,1.000290319673441952e-01,-1.593947441966304390e-01,9.121211898176205535e-02,6.410586996008295762e-06,-9.225701727338359677e-04,2.874287919075868471e-03,-2.113968490379968923e+00,-6.355075989445626086e-03,3.133597874625805926e-03,3.930294736428804891e-01
3.500000000000000000e+00,2.523066768154505479e-01,3.598235098961258815e-01,1.000298037711187527e-01,-1.591178056740363278e-01,8.741326815612848744e-02,5.789465367394606024e-06,-7.512610314331960278e-04,2.361502255359473716e-03,-2.064839610137117365e+00,-2.224787493491454070e-03,-1.158020998099880145e-03,3.930257266809359940e-01
3.750000000000000000e+00,2.324380102211421606e-01,3.705273880151515042e-01,1.000304570730382175e-01,-1.588380257901048365e-01,8.397077507243709549e-02,4.706173295638464791e-06,-4.125484763362632337e-04,2.507953762418174866e-03,-2.015710807298253915e+00,1.674930989770389601e-03,-4.356646082563638694e-03,3.930225606486926759e-01
4.000000000000000000e+00,2.125766276000121968e-01,3.807907845838603422e-01,1.000309897120871261e-01,-1.590454138620038260e-01,8.027839202443173838e-02,3.915291954475225985e-06,2.423203243531370316e-05,3.165483159614736978e-03,-1.966581846921725552e+00,4.821427256741208679e-03,-5.960469718600764320e-03,3.930216154763955805e-01
4.250000000000000000e+00,1.926442975973170491e-01,3.905481326126422070e-01,1.000314478713663913e-01,-1.599639041764815417e-01,7.582706205983279213e-02,3.458228760097725493e-06,4.656435310192926251e-04,4.135237828929259375e-03,-1.917452491490357236e+00,6.787763064007980816e-03,-5.999667425410747622e-03,3.930226569159412930e-01
4.500000000000000000e+00,1.725519007331265398e-01,3.996808197919908823e-01,1.000318489150740786e-01,-1.615600269626997487e-01,7.028218535496648378e-02,2.923781453103928213e-06,8.336295887278515277e-04,5.206046420623030961e-03,-1.868322845341265692e+00,7.330003862703912514e-03,-4.900866746652474473e-03,3.930242207014360001e-01
4.750000000000000000e+00,1.522274392767534734e-01,4.080424514797040825e-01,1.000321555709849930e-01,-1.636149834718950979e-01,6.353104527674509339e-02,1.920763522908617662e-06,1.087742137766511356e-03,6.185420783663290144e-03,-1.819193322950386049e+00,6.461820268272002767e-03,-3.261927933656009679e-03,3.930248056049145400e-01
5.000000000000000000e+00,1.316328189661014336e-01,4.154873605827359984e-01,1.000323012289477814e-01,-1.658251195130358846e-01,5.568726518685875732e-02,3.889014755901387586e-07,1.226719613482623889e-03,6.924051151975263614e-03,-1.770064368487048290e+00,4.472709241502502084e-03,-1.642327367369282413e-03,3.930236841873351872e-01
5.250000000000000000e+00,1.107681180326738762e-01,4.218966612095533253e-01,1.000322364952782456e-01,-1.678969453811633428e-01,4.704904779491275030e-02,-1.363105921150931221e-06,1.276315319525004851e-03,7.334055708049130526e-03,-1.720936213168443585e+00,1.876864609200671252e-03,-4.299199212314326786e-04,3.930210515763881696e-01
5.500000000000000000e+00,8.966563387582680844e-02,4.271964989476803587e-01,1.000319655464389917e-01,-1.696139861810185001e-01,3.801963272884451711e-02,-2.834584130064736784e-06,1.273271489429559028e-03,7.399464675041197981e-03,-1.671808817936669023e+00,-6.938184596476251005e-04,2.061356376113827773e-04,3.930177100613256869e-01
5.750000000000000000e+00,6.837795352052185305e-02,4.313648404863679731e-01,1.000315530539082065e-01,-1.708663021554205352e-01,2.900762174560479051e-02,-3.599911871663292877e-06,1.252621115570758678e-03,7.176305471410138366e-03,-1.622681962157906055e+00,-2.626896899984463782e-03,2.981668708808487092e-04,3.930146124520885742e-01
6.000000000000000000e+00,4.696469288679547965e-02,4.344257098997202915e-01,1.000310999749853269e-01,-1.716444354714735110e-01,2.032960526872674284e-02,-3.517223833168894478e-06,1.240779027963241328e-03,6.780103803867731059e-03,-1.573555367846995345e+00,-3.468595950440696730e-03,2.643868555428544558e-05,3.930125110273774980e-01
6.250000000000000000e+00,2.548184563030581745e-02,4.364326354208898917e-01,1.000307037410637367e-01,-1.720064395900338661e-01,1.213758275313550627e-02,-2.762927622918868417e-06,1.253301683127151485e-03,6.360769851219929237e-03,-1.524428783261036591e+00,-3.036631889894146792e-03,-3.519721792558872442e-04,3.930118165848041079e-01
6.500000000000000000e+00,3.976327726138270159e-03,4.374456359766396019e-01,1.000304264363362644e-01,-1.720304877523820275e-01,4.389123488424012155e-03,-1.686286431043434438e-06,1.295014898779259065e-03,6.068201113209631403e-03,-1.475302011664797019e+00,-1.477956711920872402e-03,-5.822211319397061846e-04,3.930126180236311328e-01
6.750000000000000000e+00,-1.751339736185001522e-02,4.375077838809526831e-01,1.000302865077542236e-01,-1.717674289984251756e-01,-3.130765649001874575e-03,-6.083851591042495584e-07,1.360938365257260974e-03,6.015453794298077431e-03,-1.426174913556649937e+00,7.520720986995985211e-04,-4.891784900931715014e-04,3.930147186510420387e-01
7.000000000000000000e+00,-3.895153778577285786e-02,4.366277222272887948e-01,1.000302701604087324e-01,-1.712074696062368673e-01,-1.073956026430725706e-02,2.736295080263476591e-07,1.437773879310902348e-03,6.248535596924747852e-03,-1.377047422634347651e+00,2.995744036801285381e-03,-3.734423540841152794e-05,3.930175963629777280e-01
